"€95,000 "," Main Street,Collooney,Co. Sligo,F91F5X6"
"Guide Price €40,000 "," 15 Tower Hill, Ballymote, Co. Sligo"
"€110,000 "," 28 Garavogue Villas, Sligo City, Sligo"
"€135,000 "," 3 Valley of the Diamonds, Pier Rd, Enniscrone, Sligo"
"€375,000 "," Oakfield Road, Sligo City, Sligo"
"AMV €95,000 "," 8 Yeats Village, Ballinode, Co. Sligo"
"€575,000 "," Castletown Manor,Cottlestown,Corballa,Co. Sligo,F26KX03"
"€149,000 "," 7 Edenmount Halls, Brooklawn, Sligo City, Sligo"
"€170,000 "," 20 Seaview Park, Cliffoney, Sligo"
"€269,000 "," Drumcliffe South, Drumcliff, Sligo"
"€255,000 "," 55 Innisfree Court, Sligo City, Sligo"
"€200,000 "," Claddagh, Aclare, Sligo"
"€275,000 "," 17 Greenfort, Sligo City, Sligo"
"€150,000 "," Ummeryroe, Geevagh, Sligo"
"€150,000 "," Apartment 15 Cartron Court, Cartron Village, Sligo City, Sligo"
"€149,000 "," Ballygawley,Co. Sligo,F91WY45"
"€295,000 "," 'St Teresa's' Mail Coach Road, Sligo City, Sligo"
"€110,000 "," 84 Woodstream,Coolaney,Co. Sligo,F56CY65"
"€135,000 "," Apartment 11 Buttermarket Apartments, Sligo City, Sligo"
"€159,000 "," 46 John St, Sligo City, Sligo"
